pid,blk,brcv,type
522884,MM-5700,ES-0800,PUNT
522946,MS-2400,JJ-3200,PUNT
525565,LG-0900,,FG
527512,LG-0700,,PUNT
531545,TS-1400,JM-2800,PUNT
531965,SD-0800,EJ-1000,PUNT
533037,AC-0500,,FG
533301,TB-2800,,FG
533719,BB-2600,DP-1950,PUNT
535940,LJ-0200,,FG
536703,CM-0800,,PUNT
536746,JW-5100,OV-0200,PUNT
536801,OV-0200,,FG
537105,DH-4000,DM-4030,PUNT
537616,MG-1800,JB-0300,FG
539315,DH-0700,,FG
539393,AC-0500,,FG
539514,SM-2300,CW-3800,PUNT
539732,OV-0200,,FG
539859,LH-1900,,FG
540104,KW-1400,,XP
541021,DW-1700,AH-2400,PUNT
543205,NI-0100,LB-0100,PUNT
544400,JJ-1550,QM-0200,FG
545971,JP-2000,,FG
546007,KW-1400,,FG
547723,MJ-0600,MJ-0600,FG
550203,DB-5200,,FG
553412,DH-2550,DH-2550,PUNT
554796,BB-2600,BB-2600,PUNT
554976,AC-0500,,XP
555899,MW-1800,,FG
556905,AC-0500,,FG
558547,AW-1500,JB-3350,FG
558594,RB-4300,RS-1000,FG
558964,MD-0100,,FG
559257,DW-1700,,PUNT
560319,MH-1060,MH-1060,PUNT
560954,CF-1000,KB-2450,PUNT
563259,DB-5100,SK-0600,PUNT
564026,JT-1300,,PUNT
566108,OS-0200,BC-1200,FG
567882,JB-3350,RT-0100,FG
568275,CD-0200,MS-2400,PUNT
569185,BP-0900,AV-0300,FG
569401,DJ-2350,,XP
571109,TP-1600,,XP
572075,CD-2200,,FG
573203,RJ-0800,JS-6650,PUNT
573497,SJ-0650,SJ-0650,PUNT
574421,JK-0250,,PUNT
574441,LG-1000,DH-4250,FG
576000,TP-2000,LG-0750,FG
579817,CD-2200,RN-0300,FG
582455,CJ-2050,SG-1400,FG
583984,LG-1000,,FG
584033,CL-1000,,FG
585362,JW-1100,DS-5150,FG
585548,JL-0500,CB-0450,PUNT
586884,DM-2950,CT-0250,PUNT
587416,JB-3350,,FG
588569,JD-2150,TD-2600,PUNT
589298,DW-1700,MB-3000,PUNT
590703,JO-0300,,FG
591323,JW-1100,SK-0200,FG
591867,DG-2000,SL-0200,PUNT
592086,SB-1600,,FG
592317,JS-6650,GW-1400,PUNT
596738,JW-5100,JT-3600,PUNT
596902,AA-0850,AA-0850,PUNT
597280,BL-1350,,XP
597849,KO-0800,,PUNT
599695,MB-3650,,FG
600274,JW-4100,GM-0800,PUNT
601894,BP-0900,,XP
605644,JO-0550,CC-1050,PUNT
608838,CM-1250,JT-3600,PUNT
609260,BB-0400,BL-1150,FG
609671,JM-4300,,FG
609800,JW-1100,,XP
609811,AB-1975,AB-1975,PUNT
610601,JA-2825,,PUNT
610889,AD-1300,DW-3125,PUNT
611620,CJ-2050,CJ-2050,FG
612420,TM-1750,MJ-0250,PUNT
612467,TM-1750,RA-1350,FG
612982,JT-3800,SL-0400,FG
613005,AL-1200,,PUNT
613954,AJ-0350,,FG
614483,EG-0900,,XP
614741,DM-2950,,PUNT
615258,TK-0200,ES-1475,FG
615580,TK-0800,,FG
616304,WY-0300,,FG
617680,TB-3950,BS-2400,PUNT
618793,TC-0350,,PUNT
619374,JC-1600,CM-0200,PUNT
620990,RH-0150,,XP
621753,SH-1000,,FG
621781,JF-3150,CM-1250,PUNT
622360,WG-0550,WG-0550,FG
622797,DB-0500,MM-5200,PUNT
623464,CJ-2150,,FG
623743,LH-1900,,FG
627211,OV-0200,MT-0850,FG
627839,JN-1350,RJ-0550,PUNT
628486,TM-1000,,PUNT
628599,BW-2650,JH-0100,FG
628825,JB-3350,PP-0400,FG
630013,DA-2050,BB-4100,PUNT
630912,EM-1200,DJ-2950,FG
633264,BB-0400,,XP
633319,BB-2600,MJ-0600,PUNT
634281,RH-0150,,FG
636349,DS-5100,EW-0400,FG
636511,TK-0200,TJ-0950,FG
636540,DS-1730,RH-3000,PUNT
637172,AD-1300,ML-0500,PUNT
637958,JH-0100,,FG
638404,AT-0350,AT-0350,PUNT
638438,JB-5700,EG-0900,PUNT
639392,AW-1900,,FG
640157,BC-1200,,XP
642426,BB-2250,,PUNT
642610,BJ-2100,,FG
642658,RH-0150,,XP
643086,MW-2300,,FG
643450,JJ-4300,,FG
643843,JC-3550,KA-1000,FG
644349,DS-4300,KA-0400,PUNT
644725,DW-4250,,FG
645966,JR-0300,,FG
646178,TF-0250,,PUNT
646487,VW-0200,,FG
647301,DB-0975,WH-0700,FG
648255,IA-0100,,FG
649209,JC-1600,TB-3950,PUNT
650908,ST-0450,,PUNT
651652,DJ-2350,,FG
653533,CC-2600,,FG
654311,JT-3800,,XP
654890,AS-0600,MS-1300,FG
655377,JC-5630,,FG
655707,WG-0550,,XP
657350,DM-1400,KW-0960,PUNT
657754,RJ-0800,,PUNT
660149,AT-0100,,XP
661517,DA-2050,,XP
663247,PM-0500,AS-0900,FG
664323,DJ-2350,,FG
664891,SW-1750,,FG
665392,MM-1550,MM-1550,PUNT
665692,JJ-3200,RR-1150,PUNT
667630,JC-3550,,XP
670126,AJ-0350,RM-5050,PUNT
671433,AJ-0350,,XP
671640,CH-3100,LT-0400,FG
672140,DI-0200,JW-3050,FG
672653,MM-4500,MM-4500,PUNT
673175,CS-1250,,FG
675773,ZV-0100,,PUNT
676361,KM-1150,,FG
678389,LG-1000,,XP
678897,IW-0100,,XP
679743,TC-2950,SL-0500,FG
680421,JB-5775,,FG
680939,DA-2050,,XP
681251,HP-0200,PT-0450,PUNT
681725,CH-3100,,XP
682133,BU-0150,WH-0750,FG
682891,KW-1400,,XP
683554,CD-2200,,FG
683809,EG-0350,,XP
684360,CM-0200,NG-0350,PUNT
685143,QD-0200,AB-3850,FG
688356,DR-2800,PA-0300,FG
689196,DA-2050,CL-1300,FG
689717,CD-2200,,FG
690881,DS-3162,,FG
691424,TA-0600,,FG
691774,JG-1050,HJ-0300,PUNT
693108,CJ-2400,,FG
694465,DA-0350,,PUNT
695050,DJ-1750,JW-0750,FG
697705,MH-3750,,FG
