pid,type,bc,psr,trg,conv
324711,PASS,,PM-0200,BF-0700,1
324716,RUSH,JA-0300,,,0
330437,PASS,,CR-0600,RW-2200,0
331093,RUSH,DG-0600,,,1
332029,PASS,,JC-5600,KW-2300,1
334873,PASS,,KC-1400,CB-0300,0
335161,PASS,,KB-1300,DD-0200,0
336579,PASS,,CW-3200,SH-1300,1
337219,RUSH,JA-0300,,,1
337671,PASS,,TC-2300,CC-4300,0
337879,RUSH,BB-2400,,,1
338293,PASS,,CP-0500,KW-0800,0
338464,PASS,,KO-0700,GO-0100,1
338674,RUSH,DW-0200,,,1
338790,PASS,,DH-4300,TG-1300,0
339320,PASS,,JR-3500,RC-3100,1
339661,PASS,,LM-0800,MC-1500,0
340003,PASS,,TS-2600,DD-0200,0
340244,PASS,,TC-2300,CC-4300,0
340611,RUSH,LM-0300,,,1
341116,PASS,,JB-2100,DH-0300,1
341765,RUSH,PT-0400,,,1
342389,RUSH,TJ-0300,,,1
342401,RUSH,TJ-0300,,,1
342707,PASS,,MB-4800,RM-3100,0
343234,PASS,,MH-1600,MP-1500,1
343388,RUSH,BR-1100,,,0
343401,PASS,,BR-1100,NW-0100,0
345179,PASS,,BF-0100,LW-0500,0
347101,PASS,,TJ-0300,SR-0500,0
347437,PASS,,TT-0900,MC-2700,1
347748,RUSH,DR-1300,,,1
347881,PASS,,JC-0500,LB-0400,0
349361,PASS,,PR-0300,LN-0100,1
349375,PASS,,JC-6200,ER-0500,1
350765,PASS,,KO-0700,BL-1200,1
351475,PASS,,DB-3800,RB-4900,0
352253,PASS,,,,0
352275,PASS,,BF-0100,CS-4200,0
352591,PASS,,,,0
352878,RUSH,EJ-0200,,,1
352888,PASS,,KW-0500,AB-2000,0
352939,RUSH,LW-0500,,,1
353106,PASS,,JO-0700,FG-0200,1
353762,PASS,,TE-0100,LE-0300,1
353913,PASS,,PR-0300,DS-3300,1
356323,PASS,,CP-0500,BU-0300,0
356497,PASS,,BR-1100,HM-0200,0
