pid,kicker,kgro,knet,ktb,kr,kry
113493,OM-0100,60,46,0,CR-1500,14
113497,MH-3100,57,32,0,TM-2800,25
113505,MH-3100,50,32,0,TM-2800,18
113519,MH-3100,55,32,0,TM-2800,23
113540,MS-5200,51,48,0,TH-2700,3
113563,NR-0100,44,44,0,,0
113582,NR-0100,47,28,0,LB-1000,19
113591,MS-5200,65,46,0,TH-2700,19
113618,MS-5200,64,22,0,RJ-1800,42
113622,NR-0100,60,41,0,LB-1000,19
113635,NR-0100,40,26,0,SG-0400,14
113660,MS-5200,57,30,0,RJ-1800,27
113682,MS-5200,55,34,0,RJ-1800,21
113703,PD-0200,57,43,0,DB-4600,14
113720,PD-0200,62,34,0,IB-0300,28
113736,TS-0500,48,22,0,AD-0400,26
113772,TS-0500,50,30,0,,0
113814,PD-0200,54,40,0,IB-0300,14
113826,TS-0500,62,44,0,AD-0400,18
113838,TS-0500,65,41,0,AD-0400,24
113846,RL-1300,66,52,0,AM-1800,14
113863,PE-0100,51,34,0,JW-0400,17
113879,RL-1300,64,43,0,AM-1800,21
113909,PE-0100,65,35,0,JW-0400,30
113921,RL-1300,57,37,0,LJ-1100,20
113928,PE-0100,50,32,0,KM-1300,18
113937,RL-1300,60,38,0,AM-1800,22
113961,RL-1300,64,35,0,LJ-1100,29
113981,RL-1300,57,34,0,AM-1800,23
114004,RL-1300,55,38,0,AM-1800,17
114010,PE-0100,13,13,0,,0
114012,MV-0100,63,38,0,JL-1600,25
114027,MV-0100,64,64,0,FM-0800,0
114030,MV-0100,66,34,0,JL-1600,32
114058,MV-0100,65,47,0,JL-1600,18
114090,KB-2300,66,41,0,TW-0400,25
114149,MV-0100,67,33,0,JL-1600,34
114168,KB-2300,13,13,0,,0
114181,RC-2900,51,38,0,LM-0600,13
114188,JR-1100,59,50,0,EJ-1100,9
114205,JR-1100,69,16,0,EJ-1100,53
114212,RC-2900,63,41,0,AR-0200,22
114223,JR-1100,58,38,0,EJ-1100,20
114239,RC-2900,53,26,0,AR-0200,27
114247,JR-1100,40,35,0,PW-0500,5
114256,JR-1100,48,48,0,JM-4900,0
114266,JR-1100,59,45,0,IC-0100,14
114297,JR-1100,40,30,0,PW-0500,10
114305,RC-2900,65,35,0,AR-0200,30
114314,JR-1100,54,35,0,SM-0100,19
114326,RC-2900,13,13,0,,0
114330,BG-1300,65,38,0,DH-0600,27
114363,MA-0700,62,44,0,KK-0200,18
114370,MA-0700,50,32,0,JM-0700,18
114394,MA-0700,67,42,0,KK-0200,25
114406,MA-0700,50,35,0,KK-0200,15
114415,MA-0700,36,24,0,JM-0700,12
114417,MA-0700,48,37,0,KK-0200,11
114446,MA-0700,62,26,0,KK-0200,36
114472,MA-0700,53,38,0,KK-0200,15
114494,JF-0900,63,45,0,TC-1100,18
114507,HE-0100,60,42,0,AR-1700,18
114541,JF-0900,64,38,0,TC-1100,26
114571,HE-0100,69,47,0,AR-1700,22
114579,JF-0900,62,39,0,TC-1100,23
114584,HE-0100,65,43,0,AR-1700,22
114618,HE-0100,64,46,0,AR-1700,18
114626,JF-0900,63,44,0,JW-6100,19
114656,JF-0900,70,36,0,TC-1100,34
114669,HE-0100,62,39,0,AR-1700,23
114672,JF-0900,60,50,0,TC-1100,10
114679,MB-4600,57,38,0,JS-3200,19
114691,MB-4600,62,33,0,JM-2200,29
114724,JN-0600,70,33,0,DJ-3100,37
114752,MB-4600,58,33,0,JM-2200,25
114758,JN-0600,67,41,0,DW-1200,26
114760,JN-0600,57,32,0,DJ-3100,25
114766,MB-4600,72,40,0,JM-2200,32
114778,MB-4600,58,50,0,JM-2200,8
114800,MB-4600,53,42,0,JM-2200,11
114816,JN-0600,71,50,0,DJ-3100,21
114829,MB-4600,55,31,0,JM-2200,24
114843,JN-0600,45,33,0,NG-0500,12
114845,JN-0600,68,30,0,DJ-3100,38
114859,JW-3300,69,51,0,BM-3300,18
114902,DA-0300,47,29,0,TW-2100,18
114930,DA-0300,67,44,0,TW-2100,23
114945,JW-3300,34,22,0,JS-3800,12
114948,DA-0300,53,35,0,TW-2100,18
115028,MK-1100,64,45,0,RJ-0700,19
115049,MK-1100,72,52,1,,0
115066,MK-1100,67,52,0,RJ-0700,15
115070,WR-0500,69,54,0,RD-1800,15
115083,WR-0500,63,47,0,RD-1800,16
115096,WR-0500,63,63,0,,0
115102,MK-1100,62,44,0,RJ-0700,18
115115,SC-0700,59,41,0,SM-2900,18
115117,WR-0500,51,35,0,PH-0200,16
115130,MK-1100,65,29,0,RJ-0700,36
115155,SC-0700,61,47,0,SM-2900,14
