pid,fum,frcv,fry,forc
471716,JJ-4800,FO-0100,0,BR-1600
471745,JF-3100,JC-2400,0,JC-2400
471778,DB-3800,TC-3000,0,AM-0500
471803,LB-0500,JD-3000,0,AB-3300
471806,CD-0300,RB-4900,0,
471830,SJ-0600,DL-2300,2,EC-0500
471862,FJ-0100,EW-1600,0,MD-0300
471940,BB-3000,JW-2300,0,DC-2900
472018,KK-1200,DW-1100,17,AS-3100
472049,BM-0900,GL-0100,0,
472116,JH-2200,MM-2600,0,JR-0300
472142,TG-0900,TG-0900,0,
472177,RM-1700,CO-0100,0,
472191,JS-3700,,0,JS-4600
472251,AR-1100,,0,NC-0200
472317,DS-3300,CB-3000,0,
472365,RM-1200,RM-1200,0,PC-0800
472383,RM-1200,KD-0900,0,BD-0700
472465,MS-0600,MS-0600,0,
472509,LW-0500,,0,
472582,ML-2500,JL-0600,0,RB-1400
472657,SB-1100,AG-1000,0,RB-3000
472677,DB-3800,JJ-4800,0,
472725,JJ-4800,DH-2000,0,RB-3000
472999,BE-0200,BE-0200,0,AB-1500
473015,JF-1900,JF-1900,0,
473033,JF-1900,TH-0200,0,TH-0200
473049,JC-2300,BM-1500,0,TC-1900
473078,HN-0100,JC-2300,0,JC-2300
473097,DM-1200,CC-0700,0,RL-0600
473151,BU-0100,OG-0200,0,
473168,LM-1000,WJ-0700,0,EW-0100
473192,JK-2200,JK-2200,0,JC-2200
473198,AR-1300,AR-1300,0,
473223,AR-1300,JP-0600,0,DT-0100
473337,BR-1100,CR-0500,13,TS-3500
473354,RM-3900,ER-0100,0,DE-0600
473385,RR-0400,LW-1600,0,RC-1300
473411,JF-1900,BK-0300,0,
473473,GJ-0400,BG-2100,-2,SN-0500
473500,JS-6200,,0,
473589,MR-2500,CM-0900,0,
473603,MJ-0800,DB-2200,0,DB-2200
473682,JK-1800,,0,WH-0700
473683,JC-6200,JW-1400,0,RB-3000
473733,MH-1600,BO-0100,0,
473849,LT-0600,LT-0600,0,
473865,PC-0300,PC-0300,0,
473890,TB-2300,BG-1800,0,CP-0100
473920,DW-4300,LM-0200,0,MD-0300
473997,TW-2700,TW-2700,0,
474026,JC-6200,MF-1300,0,SS-1300
474067,TW-2700,BS-4600,0,CG-1700
474196,MS-0100,WG-0500,19,IT-0100
474224,BR-1100,BR-1100,0,
474229,AR-0200,,0,
474250,MS-0100,MS-0100,0,
474257,BR-1100,BR-1100,0,
474283,TW-2700,TW-2700,0,
474395,RM-3900,DB-2200,7,CM-0900
474448,MC-2400,TW-2700,0,NC-0700
474531,DH-2400,,0,SS-1300
474614,DH-2700,DH-2700,0,
474649,MT-2400,JP-2000,0,CT-1500
474657,DH-2700,DH-2700,0,
