pid,punter,pgro,pnet,ptb,pr,pry,pfc
128017,SL-0400,42,17,0,KW-1100,25,0
128030,SL-0400,29,29,0,KW-1100,0,1
128052,SL-0400,44,44,0,KW-1100,0,1
128090,TT-1700,-20,-33,0,,0,0
128121,TT-1700,43,39,0,DG-1800,4,0
128185,DS-4900,25,25,0,,0,0
128201,DS-4900,33,33,0,,0,0
128208,DS-4900,31,31,0,CM-3100,0,1
128224,BB-0800,39,13,0,SM-3600,26,0
128228,DS-4900,24,24,0,CM-3100,0,1
128239,BB-0800,26,26,0,SM-3600,0,1
128244,DS-4900,40,30,0,CM-3100,10,0
128260,BB-0800,27,27,0,,0,0
128264,DS-4900,34,34,0,CM-3100,0,1
128288,KW-0200,49,42,0,AB-3550,7,0
128313,KW-0200,39,48,0,AB-3550,-9,0
128317,BM-3600,43,27,0,TB-3300,16,0
128334,BM-3600,71,50,0,TB-3300,21,0
128342,KW-0200,47,50,0,AB-3550,-3,0
128364,KW-0200,23,23,0,,0,0
128382,BM-3600,64,47,0,DB-3600,17,0
128418,KW-0200,50,42,0,AB-3550,8,0
128422,BM-3600,48,46,0,BJ-1300,2,0
128436,TS-0500,41,41,0,,0,0
128443,CH-1100,48,39,0,SS-2100,9,0
128447,TS-0500,42,28,0,JL-1600,14,0
128452,CH-1100,51,27,0,SS-2100,24,0
128456,TS-0500,36,27,0,JL-1600,9,0
128460,CH-1100,45,45,0,SS-2100,0,1
128464,TS-0500,47,47,0,,0,0
128473,TS-0500,39,19,1,,0,0
128491,TS-0500,40,38,0,JL-1600,2,0
128496,CH-1100,36,21,0,SS-2100,15,0
128501,TS-0500,40,28,0,JL-1600,12,0
128531,CH-1100,38,36,0,SS-2100,2,0
128548,CH-1100,-17,-17,0,,0,0
128558,CH-1100,58,42,0,SS-2100,16,0
128578,CH-1100,44,8,0,SS-2100,36,0
128601,NH-0700,35,27,0,DO-0200,8,0
128628,MK-1100,46,26,1,,0,0
128633,NH-0700,43,31,0,DO-0200,12,0
128684,MK-1100,43,43,0,,0,0
128693,NH-0700,51,45,0,DO-0200,6,0
128712,MK-1100,41,44,0,PW-0400,-3,0
128716,NH-0700,32,32,0,,0,0
128720,MK-1100,55,49,0,PW-0400,6,0
128753,MK-1100,50,50,0,,0,0
128796,HS-0200,34,34,0,DN-1400,0,1
128806,CG-0300,38,38,0,,0,0
128813,HS-0200,50,48,0,DN-1400,2,0
128840,CG-0300,40,20,1,,0,0
128883,HS-0200,35,35,0,,0,0
128888,CG-0300,49,47,0,BP-1400,2,0
128917,TG-1500,45,45,0,AR-1700,0,0
128921,CM-2600,48,48,0,RS-3500,0,1
128934,TG-1500,37,37,0,,0,0
128940,CM-2600,45,45,0,RS-3500,0,0
128947,TG-1500,51,36,0,AR-1700,15,0
128953,CM-2600,38,38,0,,0,0
128966,CM-2600,44,44,0,RS-3500,0,1
128993,TG-1500,43,43,0,AR-1700,0,0
128998,CM-2600,38,38,0,RS-3500,0,1
129003,TG-1500,39,27,0,AR-1700,12,0
129011,TG-1500,46,39,0,AR-1700,7,0
129063,JJ-2300,31,31,0,,0,0
129095,SP-1400,38,26,0,ED-0900,12,0
129125,JJ-2300,39,39,0,,0,0
129152,JJ-2300,39,19,1,,0,0
129156,SP-1400,37,-20,0,ED-0900,57,0
129167,SP-1400,36,36,0,ED-0900,0,1
129171,JJ-2300,38,38,0,AB-2000,0,0
129187,JJ-2300,41,27,0,AB-2000,14,0
